timestamp,weather_icon,wind_speed,humidity,temperature,location
1990-09-20T07:00:00+07:00,cloudy,14.4 km/h,97%,24.0°,Hà Nội
1990-09-21T07:00:00+07:00,cloudy,14.4 km/h,90%,26.7°,Hà Nội
1990-09-22T07:00:00+07:00,partly-cloudy-day,21.6 km/h,85%,28.7°,Hà Nội
1990-09-23T07:00:00+07:00,cloudy,10.8 km/h,89%,25.6°,Hà Nội
1990-09-24T07:00:00+07:00,partly-cloudy-day,10.8 km/h,90%,25.7°,Hà Nội
1990-09-25T07:00:00+07:00,partly-cloudy-day,10.8 km/h,78%,27.0°,Hà Nội
1990-09-26T07:00:00+07:00,partly-cloudy-day,7.2 km/h,77%,28.1°,Hà Nội
1990-09-27T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,28.7°,Hà Nội
1990-09-28T07:00:00+07:00,partly-cloudy-day,7.2 km/h,72%,30.5°,Hà Nội
1990-09-29T07:00:00+07:00,partly-cloudy-day,7.2 km/h,89%,26.4°,Hà Nội
1990-09-30T07:00:00+07:00,partly-cloudy-day,7.2 km/h,77%,28.8°,Hà Nội
1990-10-01T07:00:00+07:00,partly-cloudy-day,28.8 km/h,72%,26.2°,Hà Nội
1990-10-02T07:00:00+07:00,cloudy,10.8 km/h,86%,25.6°,Hà Nội
1990-10-03T07:00:00+07:00,cloudy,14.4 km/h,78%,27.1°,Hà Nội
1990-10-04T07:00:00+07:00,cloudy,14.4 km/h,78%,26.1°,Hà Nội
1990-10-05T07:00:00+07:00,cloudy,10.8 km/h,92%,24.7°,Hà Nội
1990-10-06T07:00:00+07:00,cloudy,0.0 km/h,95%,24.7°,Hà Nội
1990-10-07T07:00:00+07:00,cloudy,3.6 km/h,91%,25.1°,Hà Nội
1990-10-08T07:00:00+07:00,partly-cloudy-day,10.8 km/h,75%,27.9°,Hà Nội
1990-10-09T07:00:00+07:00,partly-cloudy-day,10.8 km/h,66%,27.8°,Hà Nội
1990-10-10T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,26.1°,Hà Nội
1990-10-11T07:00:00+07:00,partly-cloudy-day,14.4 km/h,75%,26.5°,Hà Nội
1990-10-12T07:00:00+07:00,partly-cloudy-day,7.2 km/h,72%,26.9°,Hà Nội
1990-10-13T07:00:00+07:00,partly-cloudy-day,7.2 km/h,67%,27.0°,Hà Nội
