year,month,day,day_of_week,is_weekend,is_winter,is_spring,is_summer,is_fall,title_length,content_length,keywords_count,kw_không khí,kw_sương mù,kw_cháy,kw_nhà máy,kw_khói,kw_bụi,kw_ô nhiễm không khí,kw_đốt,kw_khí thải,kw_bụi mịn,kw_pm2.5,kw_đốt rơm rạ,kw_khí độc,kw_no2,kw_cháy rừng
2019,10,1,1,0,0,0,0,1,61,3130,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,9,30,0,0,0,0,0,1,53,3995,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2019,9,28,5,1,0,0,0,1,59,2690,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2019,9,28,5,1,0,0,0,1,52,4272,7,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0
2019,9,27,4,0,0,0,0,1,63,2334,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
2019,9,24,1,0,0,0,0,1,36,2830,6,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
2019,9,23,0,0,0,0,0,1,56,3323,8,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1
2019,9,17,1,0,0,0,0,1,33,5451,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2019,9,17,1,0,0,0,0,1,54,2258,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,9,11,2,0,0,0,0,1,44,2620,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2019,9,11,2,0,0,0,0,1,35,1698,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,9,10,1,0,0,0,0,1,58,2465,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,5,3,0,0,0,0,1,57,3208,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,9,4,2,0,0,0,0,1,51,5350,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,7,9,1,0,0,0,1,0,60,3933,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,4,3,0,0,0,1,0,55,1784,5,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
2019,6,28,4,0,0,0,1,0,46,2676,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,6,5,2,0,0,0,1,0,47,3494,10,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0
2019,4,4,3,0,0,1,0,0,37,1699,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2019,4,2,1,0,0,1,0,0,51,3039,9,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
2019,3,14,3,0,0,1,0,0,53,2807,6,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0
2018,7,6,4,0,0,0,1,0,46,2150,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,1,4,3,0,1,0,0,0,22,4461,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,10,16,0,0,0,0,0,1,64,4719,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2017,10,14,5,1,0,0,0,1,60,1964,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,22,2,0,1,0,0,0,57,7061,7,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
2016,10,18,1,0,0,0,0,1,75,3277,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,5,25,2,0,0,1,0,0,40,582,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
